Altium Designer Pick and Place Locations
D:\learning\coding\git\github\2418driver\Project Outputs for 2418driver\Pick Place for 2418driver.csv

========================================================================================================================
File Design Information:

Date:       20/04/20
Time:       23:57
Revision:   9e82e7c2c3164e91924befadacfbf56a093d5f4e
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)"
"R54","NCP18XH103F03RB","TopLayer","R0603","-455.000","-1092.000","360","","-455.000","-1092.000","-480.000","-1092.000"
"R53","4.7K 1%","TopLayer","R0402","485.882","-680.000","90","","485.882","-680.000","485.882","-700.000"
"C48","100nF/16V","TopLayer","C0402","543.182","-548.842","180","Capacitor","543.182","-548.842","563.182","-548.842"
"R44","510R","TopLayer","R0402","1089.000","-575.000","0","","1089.000","-575.000","1069.000","-575.000"
"D12","绿灯","BottomLayer","LED_0603","1101.000","-541.000","90","绿灯led","1101.000","-541.000","1101.000","-571.000"
"C24","100nF/16V","TopLayer","C0402","394.118","-459.859","0","","394.118","-459.859","374.118","-459.859"
"C2","100nF/16V","BottomLayer","C0402","388.094","-728.000","90","Capacitor","388.094","-728.000","388.094","-748.000"
"D10","SMAJ28A","TopLayer","DO-214AC_SMA","-10.000","755.000","90","","-10.000","755.000","-10.000","665.000"
"Y1","8M无源晶体","TopLayer","5032_4pin","877.622","-103.000","180","","877.622","-103.000","952.425","-57.724"
"U14","MP2456","TopLayer","SOT-23(6)","-830.000","-258.000","90","","-830.000","-258.000","-867.402","-307.213"
"U13","MP2456","TopLayer","SOT-23(6)","269.126","846.915","270","","269.126","846.915","306.527","896.128"
"U12","BL9161-33","TopLayer","SOT-23(5)","546.402","784.734","270","","546.402","784.734","583.803","833.946"
"U11","GD32E103CBT6","TopLayer","LQFP-48","832.000","-539.000","270","","832.000","-539.000","940.268","-361.835"
"U10","TLI5012","TopLayer","SOIC-8","494.385","-285.433","240","","494.385","-285.433","614.336","-227.670"
"U9","SIT485CUA","BottomLayer","VSSOP/MSOP-8","1120.205","-24.654","90","","1120.205","-24.654","1158.591","-114.654"
"U8","NCE5520Q","TopLayer","DFN3X3-8L","-654.205","-806.102","180","","-615.819","-750.000","-615.819","-750.000"
"U7","NCE5520Q","TopLayer","DFN3X3-8L","-398.102","992.205","90","","-342.000","953.819","-342.000","953.819"
"U6","NCE5520Q","TopLayer","DFN3X3-8L","-466.507","-999.356","270","","-522.609","-960.970","-522.609","-960.970"
"U5","NCE5520Q","TopLayer","DFN3X3-8L","-623.795","868.102","180","","-585.409","924.205","-585.409","924.205"
"U4","NCE5520Q","TopLayer","DFN3X3-8L","-1040.007","127.900","180","","-1001.622","184.003","-1001.622","184.003"
"U3","FD6288Q","BottomLayer","QFN_P0.5_24","-930.000","-523.000","90","峰岹科技","-930.000","-523.000","-880.788","-597.803"
"U2","SGM8054","BottomLayer","TSSOP-14","99.094","-648.000","360","","99.094","-648.000","-16.906","-724.772"
"U1","NCE5520Q","TopLayer","DFN3X3-8L","-1032.190","-114.788","270","","-1088.293","-76.402","-1088.293","-76.402"
"R42","0R","TopLayer","R0402","465.000","-527.000","270","","465.000","-527.000","465.000","-507.000"
"R52","113K 1%","TopLayer","R0402","-743.000","-319.000","90","","-743.000","-319.000","-743.000","-339.000"
"R51","8.2K 1%","TopLayer","R0402","-723.000","-256.000","360","","-723.000","-256.000","-743.000","-256.000"
"R50","500K","TopLayer","R0402","-744.000","-187.787","270","","-744.000","-187.787","-744.000","-167.787"
"R49","124K 1%","TopLayer","R0402","249.126","1026.915","180","","249.126","1026.915","269.126","1026.915"
"R48","23.7K 1%","TopLayer","R0402","249.126","946.915","180","","249.126","946.915","269.126","946.915"
"R47","500K","TopLayer","R0402","184.126","776.915","90","","184.126","776.915","184.126","756.915"
"R46","10K","TopLayer","R0402","658.882","-140.000","90","","658.882","-140.000","658.882","-160.000"
"R45","10K","TopLayer","R0402","1089.000","-495.000","180","","1089.000","-495.000","1109.000","-495.000"
"R43","100R","BottomLayer","R0402","451.000","-261.000","270","","451.000","-261.000","451.000","-241.000"
"R41","100R","TopLayer","R0402","574.182","-440.859","0","","574.182","-440.859","554.182","-440.859"
"R40","100R","BottomLayer","R0402","536.936","-310.000","270","","536.936","-310.000","536.936","-290.000"
"R39","3.6K 1%","TopLayer","R0402","75.000","683.000","270","","75.000","683.000","75.000","703.000"
"R38","100K 1%","TopLayer","R0402","119.000","683.000","90","","119.000","683.000","119.000","663.000"
"R37","4.7K","TopLayer","R0402","314.000","1048.000","90","","314.000","1048.000","314.000","1028.000"
"R36","100R","BottomLayer","R0402","1075.205","-185.654","270","","1075.205","-185.654","1075.205","-165.654"
"R35","100R","BottomLayer","R0402","1118.205","-185.654","270","","1118.205","-185.654","1118.205","-165.654"
"R34","4.7K","TopLayer","R0402","435.000","1148.000","180","","435.000","1148.000","455.000","1148.000"
"R33","100R","BottomLayer","R0402","1161.205","-185.654","270","","1161.205","-185.654","1161.205","-165.654"
"R32","20K 1%","BottomLayer","R0402","-42.906","-770.000","180","","-42.906","-770.000","-22.906","-770.000"
"R31","1K 1%","BottomLayer","R0402","-126.906","-743.500","180","","-126.906","-743.500","-106.906","-743.500"
"R30","0.01R 1% 1/2W","TopLayer","R0805","-544.000","-688.000","270","","-544.000","-688.000","-544.000","-652.000"
"R29","10R","BottomLayer","R0402","41.094","-770.000","180","","41.094","-770.000","61.094","-770.000"
"R28","20K 1%","BottomLayer","R0402","242.094","-525.000","360","","242.094","-525.000","222.094","-525.000"
"R27","1K 1%","BottomLayer","R0402","-126.906","-706.000","180","","-126.906","-706.000","-106.906","-706.000"
"R26","20K 1%","BottomLayer","R0402","-126.906","-666.910","360","","-126.906","-666.910","-146.906","-666.910"
"R25","2.2","TopLayer","R0402","-766.409","-702.205","360","","-766.409","-702.205","-786.409","-702.205"
"R24","1K 1%","BottomLayer","R0402","326.094","-552.039","360","","326.094","-552.039","306.094","-552.039"
"R23","0.01R 1% 1/2W","TopLayer","R0805","-276.000","885.000","360","","-276.000","885.000","-312.000","885.000"
"R22","10R","BottomLayer","R0402","158.094","-525.000","360","","158.094","-525.000","138.094","-525.000"
